Agent 0,Agent 1,min,max,avg,steps,trend
32.1,19.5,5.4,46.2,25.8,344,27.956080531729743
34.3,9.5,4.0,39.8,21.9,345,27.942113797745353
43.8,8.0,3.4,48.4,25.9,346,27.928085946255678
37.3,7.6,2.4,42.5,22.45,347,27.91400310703079
43.2,18.1,9.7,51.6,30.65,348,27.899871466261022
41.3,9.7,2.7,48.3,25.5,349,27.88569726655696
41.5,18.5,5.3,54.7,30.0,350,27.871486806949452
43.9,15.5,8.2,51.2,29.700000000000003,351,27.857246442889608
41.3,4.2,2.4,43.1,22.75,352,27.842982586248795
44.6,9.0,4.6,49.0,26.8,353,27.82870170531864
40.9,11.6,3.8,48.7,26.25,354,27.814410324811025
42.8,8.1,7.1,43.8,25.45,355,27.800115025858105
42.4,11.1,7.3,46.2,26.75,356,27.785822446012272
40.1,11.4,6.9,44.6,25.75,357,27.771539279246202
40.3,9.9,0.5,49.7,25.1,358,27.75727227595281
42.6,17.6,5.1,55.1,30.1,359,27.743028242945286
40.3,20.3,5.4,55.2,30.3,360,27.728814043457067
41.7,17.7,3.5,55.9,29.7,361,27.714636597141855
41.1,25.9,4.8,62.2,33.5,362,27.70050288007361
41.9,10.6,3.7,48.8,26.25,363,27.686419924746556
47.5,13.5,3.2,57.8,30.5,364,27.672394820075173
48.4,24.0,8.7,63.7,36.2,365,27.658434711394193
43.6,31.2,10.9,63.9,37.4,366,27.64454680045862
48.2,20.2,6.2,62.2,34.2,367,27.63073834544371
50.7,24.2,6.9,68.0,37.45,368,27.617016660944984
37.0,29.5,8.3,58.2,33.25,369,27.60338911797821
49.9,25.5,6.5,68.9,37.7,370,27.58986314397943
45.7,11.3,4.3,52.7,28.5,371,27.576446222804936
42.6,20.5,5.7,57.4,31.55,372,27.563145894731285
43.6,2.3,1.3,44.6,22.95,373,27.549969756455287
42.3,23.0,8.5,56.8,32.65,374,27.536925461094018
38.7,12.6,4.3,47.0,25.65,375,27.524020718184808
42.5,10.7,1.1,52.1,26.6,376,27.511263293685253
48.5,9.0,6.4,51.1,28.75,377,27.4986610099732
42.8,14.7,4.2,53.3,28.75,378,27.486221745846763
